bank,item,a,d
eng_comprehension_full,head,2.592155243847265,-0.9384429847390721
eng_comprehension_full,hello,1.5538951149179905,0.3252000413208236
eng_comprehension_full,help,2.775731932138502,-2.5180091692316786
eng_comprehension_full,her,2.1212721085635464,-4.107181798427217
eng_comprehension_full,hi,1.416259403812823,1.916879773281186
eng_comprehension_full,high chair,1.9671445400290335,0.08312768078128939
eng_comprehension_full,his,2.2452525992282086,-4.463372702665494
eng_comprehension_full,hit,1.94584821686017,-1.1280922328896914
eng_comprehension_full,home,1.8843911921585519,-0.6760988249947218
eng_comprehension_full,horse,2.356847330332354,-1.0640835839908753
eng_comprehension_full,hot,2.1545575619050563,0.09662005957256078
eng_comprehension_full,house,2.6354507714882227,-2.012690322988631
eng_comprehension_full,how,1.8881711461255868,-4.433194967165807
eng_comprehension_full,hug,2.1957830812172827,1.149051583001972
eng_comprehension_full,hungry,1.8300102945614727,-0.25595978198228636
eng_comprehension_full,hurry,2.1397091412897034,-3.1232665115060962
eng_comprehension_full,hurt,2.4810639558298337,-2.691445745805814
eng_comprehension_full,I,1.9073588527202316,-2.92344521831378
eng_comprehension_full,ice cream,1.6412180265967429,-1.4321537255948238
eng_comprehension_full,in,2.174640094645045,-0.902922644670617
eng_comprehension_full,inside,2.2699255460213297,-1.8627509675241436
eng_comprehension_full,it,1.942718808133121,-2.9216366723699037
